sf6,o2,chf3,pressure,rf_power,predicted_etch_rate_um_min,predicted_selectivity,predicted_nonuniformity_pct,predicted_anisotropy_auxiliary,nominally_meets_primary_specs,prediction_confidence_state,supported_prediction_confidence_state,inside_design_hull,inside_leverage_envelope,inside_design_region,prediction_leverage,meets_all_primary_specs,grid_row,grid_column
35.0,3.2,12.0,100.0,100.0,0.38853432954545447,11.831443181818184,4.9650814393939395,0.7492934469696965,False,uncertain,unsupported,False,True,False,0.4119560606060606,False,6,50
35.5,3.2,12.0,100.0,100.0,0.3901738484848484,12.022341856060608,4.934799242424242,0.741896107954545,False,uncertain,unsupported,False,True,False,0.4218977509469697,False,6,51
36.0,3.2,12.0,100.0,100.0,0.3917412878787878,12.212984848484849,4.902602272727273,0.7342480303030298,False,uncertain,unsupported,False,True,False,0.4330018939393939,False,6,52
36.5,3.2,12.0,100.0,100.0,0.3932366477272726,12.40337215909091,4.86849053030303,0.7263492140151511,False,uncertain,unsupported,False,True,False,0.44532729640151514,False,6,53
37.0,3.2,12.0,100.0,100.0,0.394659928030303,12.59350378787879,4.832464015151515,0.7181996590909085,False,uncertain,unsupported,False,True,False,0.4589378787878788,False,6,54
37.5,3.2,12.0,100.0,100.0,0.3960111287878787,12.783379734848486,4.794522727272727,0.7097993655303025,False,uncertain,unsupported,False,True,False,0.4739026751893939,False,6,55
38.0,3.2,12.0,100.0,100.0,0.3972902499999999,12.972999999999999,4.754666666666666,0.7011483333333328,False,uncertain,unsupported,False,True,False,0.4902958333333334,False,6,56
38.5,3.2,12.0,100.0,100.0,0.3984972916666666,13.162364583333334,4.7128958333333335,0.6922465624999995,False,uncertain,unsupported,False,True,False,0.5081966145833333,False,6,57
39.0,3.2,12.0,100.0,100.0,0.3996322537878787,13.351473484848485,4.669210227272727,0.6830940530303025,False,uncertain,unsupported,False,True,False,0.527689393939394,False,6,58
39.5,3.2,12.0,100.0,100.0,0.40069513636363624,13.540326704545453,4.623609848484849,0.6736908049242418,False,uncertain,unsupported,False,True,False,0.5488636600378787,False,6,59
40.0,3.2,12.0,100.0,100.0,0.40168593939393926,13.728924242424242,4.576094696969697,0.6640368181818176,False,uncertain,unsupported,False,True,False,0.5718140151515152,False,6,60
40.5,3.2,12.0,100.0,100.0,0.40260466287878777,13.917266098484848,4.526664772727273,0.6541320928030299,False,uncertain,unsupported,False,True,False,0.5966401751893939,False,6,61
41.0,3.2,12.0,100.0,100.0,0.4034513068181817,14.105352272727274,4.475320075757576,0.6439766287878782,True,uncertain,unsupported,False,True,False,0.6234469696969697,False,6,62
41.5,3.2,12.0,100.0,100.0,0.4042258712121211,14.293182765151514,4.422060606060607,0.6335704261363632,True,uncertain,unsupported,False,True,False,0.6523443418560606,False,6,63
42.0,3.2,12.0,100.0,100.0,0.40492835606060595,14.480757575757574,4.366886363636364,0.6229134848484843,True,uncertain,unsupported,False,True,False,0.6834473484848484,False,6,64
42.5,3.2,12.0,100.0,100.0,0.4055587613636362,14.668076704545452,4.3097973484848495,0.6120058049242418,True,uncertain,unsupported,False,True,False,0.7168761600378788,False,6,65
43.0,3.2,12.0,100.0,100.0,0.406117087121212,14.85514015151515,4.250793560606061,0.6008473863636357,True,uncertain,unsupported,False,True,False,0.7527560606060606,False,6,66
43.5,3.2,12.0,100.0,100.0,0.4066033333333332,15.041947916666665,4.189875000000001,0.5894382291666661,True,uncertain,unsupported,False,True,False,0.7912174479166667,False,6,67
44.0,3.2,12.0,100.0,100.0,0.40701749999999987,15.228499999999997,4.127041666666668,0.5777783333333328,True,uncertain,unsupported,False,True,False,0.8323958333333332,False,6,68
44.5,3.2,12.0,100.0,100.0,0.407359587121212,15.414796401515147,4.0622935606060615,0.5658676988636357,True,uncertain,unsupported,False,True,False,0.8764318418560605,False,6,69
45.0,3.2,12.0,100.0,100.0,0.4076295946969696,15.600837121212118,3.995630681818183,0.5537063257575752,True,uncertain,unsupported,False,False,False,0.9234712121212121,False,6,70
45.5,3.2,12.0,100.0,100.0,0.40782752272727263,15.786622159090907,3.927053030303031,0.5412942140151509,True,uncertain,unsupported,False,False,False,0.973664796401515,False,6,71
46.0,3.2,12.0,100.0,100.0,0.40795337121212105,15.972151515151511,3.8565606060606075,0.528631363636363,True,uncertain,unsupported,False,False,False,1.0271685606060608,False,6,72
46.5,3.2,12.0,100.0,100.0,0.408007140151515,16.157425189393933,3.7841534090909104,0.5157177746212116,True,uncertain,unsupported,False,False,False,1.0841435842803029,False,6,73
47.0,3.2,12.0,100.0,100.0,0.4079888295454544,16.342443181818176,3.709831439393941,0.5025534469696964,True,uncertain,unsupported,False,False,False,1.1447560606060603,False,6,74
